Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,14/08/2017,300.184169,299.769888,306.807,287.549827
ETH,15/08/2017,291.731738,300.184169,305.747,290.446441
ETH,16/08/2017,286.240462,291.731738,299.093,269.319992
ETH,17/08/2017,300.231413,286.240462,305.870985,280.458278
ETH,18/08/2017,300.26119,300.231413,310.640425,297.909783
ETH,19/08/2017,300.26119,300.26119,307.96,287.581461
ETH,20/08/2017,300.26119,300.26119,301.667,283.095723
ETH,21/08/2017,300.26119,300.26119,301.306,290.289161
ETH,22/08/2017,321.648698,300.26119,346.061,299.090265
ETH,23/08/2017,323.718591,311.519,324.023343,299.114
ETH,24/08/2017,324.079054,323.569754,325.225219,315.951
ETH,25/08/2017,329.219,324.249225,330.613,318.554
ETH,26/08/2017,328.344,329.504,337.229285,325.425295
ETH,27/08/2017,333.282815,326.244232,337.797,325.89557
ETH,28/08/2017,345.424365,334.706,350.382989,333.168107
ETH,29/08/2017,349.155544,344.818063,349.899,334.684529
ETH,30/08/2017,373.224,349.394749,375.217135,348.953936
ETH,31/08/2017,380.711,374.33489,389.801656,362.877
ETH,01/09/2017,393.598029,380.711,394.319979,377.566
ETH,02/09/2017,380.195042,393.364916,394.322096,375.149
ETH,03/09/2017,351.142,379.801,380.514016,326.200376
ETH,04/09/2017,340.967,351.256,368.852865,332.366
ETH,05/09/2017,278.695779,341.746,345.410634,268.285
ETH,06/09/2017,325.847,279.047552,332.906834,277.585
ETH,07/09/2017,327.608852,323.899,340.826489,315.403
ETH,08/09/2017,330.423336,323.704,338.222951,320.996
ETH,09/09/2017,298.551691,330.578406,334.349877,286.272
ETH,10/09/2017,285.779,299.508431,307.648421,284.42
ETH,11/09/2017,307.004387,285.237,308.374021,268.973
ETH,12/09/2017,303.14889,307.415363,307.415363,287.121
ETH,13/09/2017,275.953343,303.112275,316.221878,275.953343
