Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,11/05/2020,188.6446608,211.3656223,212.111205,180.8481711
ETH,12/05/2020,186.0147755,187.7541426,193.7202067,176.492906
ETH,13/05/2020,189.8181868,186.0055493,192.3451121,183.969672
ETH,14/05/2020,199.4712477,190.0451615,201.2871008,188.7042577
ETH,15/05/2020,203.7694208,199.4691313,206.1465775,196.0343207
ETH,16/05/2020,196.1392799,203.2278953,204.0782404,191.7253123
ETH,17/05/2020,201.4660091,196.13561,203.2352094,193.2292919
ETH,18/05/2020,207.4047794,201.4678381,209.7419404,199.7142983
ETH,19/05/2020,214.5257268,206.9589774,216.725454,206.9555382
ETH,20/05/2020,213.6812562,214.5154875,216.0656567,209.3485393
ETH,21/05/2020,209.853671,213.6803599,215.4787237,206.0796064
ETH,22/05/2020,200.2877989,209.850213,211.5762202,191.555032
ETH,23/05/2020,208.0416961,200.2859745,209.1385279,196.2872487
ETH,24/05/2020,207.6257023,208.0324657,211.268949,204.8650979
ETH,25/05/2020,206.4529748,207.6066018,210.5720354,201.8227721
ETH,26/05/2020,204.0382217,206.4468955,206.4837506,198.10427
ETH,27/05/2020,201.2088663,204.0379521,205.0093603,197.0367908
ETH,28/05/2020,206.1006556,201.2088663,207.9944507,200.5210606
ETH,29/05/2020,216.5178744,206.098545,216.7993318,202.1671567
ETH,30/05/2020,220.5019166,216.5247351,224.640221,216.2318115
ETH,31/05/2020,243.6303481,220.8556353,246.8044661,218.8650761
ETH,01/06/2020,231.2504176,243.6270585,245.2636688,229.7878561
ETH,02/06/2020,250.0599161,231.2100602,250.7284855,230.6284228
ETH,03/06/2020,237.3090653,250.0726041,253.1478783,226.2937338
ETH,04/06/2020,244.5193628,237.3095509,245.0051614,233.6978643
ETH,05/06/2020,243.4132804,244.541667,246.5683122,236.42872
ETH,06/06/2020,240.7663786,243.4205048,248.0077121,239.3617533
ETH,07/06/2020,242.3213963,240.7523324,244.671703,238.0540543
ETH,08/06/2020,243.8256551,242.321394,245.2421559,235.006135
ETH,09/06/2020,247.0407956,243.8256908,247.231798,241.0991913
ETH,10/06/2020,244.5428507,247.046866,249.717911,239.4275736
ETH,11/06/2020,247.4454296,244.5875967,250.0458472,242.4295597
ETH,12/06/2020,230.5056339,247.444628,250.0579673,226.1818994
ETH,13/06/2020,237.2197469,230.522055,239.4740359,228.2728449
ETH,14/06/2020,238.2201401,237.2259908,238.7501715,234.6350409
ETH,15/06/2020,232.6132805,238.2201401,238.5668448,229.9142633
ETH,16/06/2020,231.2550027,232.6115652,233.4718072,218.2724277
ETH,17/06/2020,234.750921,231.2543429,236.0721564,228.898786
ETH,18/06/2020,234.031026,234.7544505,237.1685502,227.6893279
ETH,19/06/2020,231.8059383,234.0394745,234.4131059,227.7414772
ETH,20/06/2020,228.8903068,231.8061482,231.9706213,226.596529
ETH,21/06/2020,228.7451599,228.877288,230.657144,225.8520173
ETH,22/06/2020,227.6154757,228.7389242,231.2319379,227.0479573
ETH,23/06/2020,243.228194,227.6089253,246.7635913,227.3859651
ETH,24/06/2020,242.9270899,243.2114217,245.0346188,241.0668468
ETH,25/06/2020,235.1756536,242.9270899,249.1445582,231.0995675
ETH,26/06/2020,232.5691464,235.1886593,235.3297724,227.420805
ETH,27/06/2020,229.9450698,232.5696027,233.3176592,227.7160537
ETH,28/06/2020,221.4079024,229.9394929,231.2253373,216.2631715
ETH,29/06/2020,224.1848295,221.4086713,227.8040995,218.1223887
ETH,30/06/2020,228.333342,224.1895354,229.8553496,221.2218593
ETH,01/07/2020,225.9467951,228.3333292,228.6460042,222.9864634
ETH,02/07/2020,230.7048875,225.6863921,232.7431176,224.3149086
ETH,03/07/2020,226.722979,231.1948376,232.1479267,223.176159
ETH,04/07/2020,226.3593386,226.6998415,228.2929204,225.691541
ETH,05/07/2020,228.807199,225.1198566,230.5455782,224.6385924
ETH,06/07/2020,227.0958438,229.3091238,229.9518913,223.4640132
ETH,07/07/2020,238.929701,227.7624211,240.9430667,227.1229375
ETH,08/07/2020,238.4339891,241.681695,243.6876559,234.998909
ETH,09/07/2020,248.2818793,239.5282277,249.1250615,238.0663647
ETH,10/07/2020,241.7872199,247.2208495,247.7393652,238.0688272
ETH,11/07/2020,240.1467527,242.0808796,242.268832,235.9863512
ETH,12/07/2020,238.9943355,241.3130855,241.7917445,237.9151047
ETH,13/07/2020,240.2236659,239.4193573,244.0770265,236.8386735
ETH,14/07/2020,239.3273162,243.0083434,245.3246083,237.5843573
ETH,15/07/2020,240.8414253,239.5313593,242.1452837,237.0269582
ETH,16/07/2020,238.4254491,240.5938875,241.4743467,236.7810485
ETH,17/07/2020,233.0853182,238.4149784,239.2174145,230.243223
ETH,18/07/2020,232.897595,233.5424064,234.599282,231.7124909
ETH,19/07/2020,235.7401242,232.7958737,237.0574449,232.4669596
ETH,20/07/2020,237.7425541,236.0131451,238.1493904,233.5973431
ETH,21/07/2020,236.0678442,239.1809758,239.8136688,234.3968832
ETH,22/07/2020,245.2152675,236.1469913,247.0502209,235.7492583
ETH,23/07/2020,264.0682845,245.8905627,269.0305096,242.1903048
ETH,24/07/2020,275.8085217,264.2264986,280.6860003,262.2727266
ETH,25/07/2020,282.0835889,275.7213121,287.6346626,268.6070505
ETH,26/07/2020,305.6981196,279.712563,307.6532121,279.6943665
ETH,27/07/2020,312.1649089,305.7557999,318.85695,300.5163329
ETH,28/07/2020,329.6317211,311.239386,333.5037646,311.2257033
ETH,29/07/2020,317.150009,322.285902,327.1706726,306.2290008
ETH,30/07/2020,322.5821788,317.3983329,325.4884543,312.9461628
ETH,31/07/2020,336.2069898,318.3178663,342.2068666,314.8993059
ETH,01/08/2020,346.0277183,335.2509921,349.8262235,329.2374485
ETH,02/08/2020,385.3971442,346.8799145,393.4227808,343.7725391
ETH,03/08/2020,376.7304078,387.6319772,415.713767,329.7443178
